cod_departamento, cod_municipio, nombre_departamento, nombre_municipio
91, 91001, Amazonas, LETICIA
91, 91263, Amazonas, EL ENCANTO
91, 91405, Amazonas, LA CHORRERA
91, 91407, Amazonas, LA PEDRERA
91, 91430, Amazonas, LA VICTORIA
91, 91460, Amazonas, MIRITÍ - PARANÁ
91, 91530, Amazonas, PUERTO ALEGRÍA
91, 91536, Amazonas, PUERTO ARICA
91, 91540, Amazonas, PUERTO NARIÑO
91, 91669, Amazonas, PUERTO SANTANDER
91, 91798, Amazonas, TARAPACÁ
05, 05001, Antioquia, MEDELLÍN
05, 05002, Antioquia, ABEJORRAL
05, 05004, Antioquia, ABRIAQUÍ
05, 05021, Antioquia, ALEJANDRÍA
05, 05030, Antioquia, AMAGÁ
05, 05031, Antioquia, AMALFI
05, 05034, Antioquia, ANDES
05, 05036, Antioquia, ANGELÓPOLIS
05, 05038, Antioquia, ANGOSTURA
05, 05040, Antioquia, ANORÍ
05, 05042, Antioquia, SANTA FÉ DE ANTIOQUIA
05, 05044, Antioquia, ANZÁ
05, 05045, Antioquia, APARTADÓ
05, 05051, Antioquia, ARBOLETES
05, 05055, Antioquia, ARGELIA
05, 05059, Antioquia, ARMENIA
05, 05079, Antioquia, BARBOSA
05, 05086, Antioquia, BELMIRA
05, 05088, Antioquia, BELLO
05, 05091, Antioquia, BETANIA
05, 05093, Antioquia, BETULIA
05, 05101, Antioquia, CIUDAD BOLÍVAR
05, 05107, Antioquia, BRICEÑO
05, 05113, Antioquia, BURITICÁ
05, 05120, Antioquia, CÁCERES
05, 05125, Antioquia, CAICEDO
05, 05129, Antioquia, CALDAS
05, 05134, Antioquia, CAMPAMENTO
05, 05138, Antioquia, CAÑASGORDAS
05, 05142, Antioquia, CARACOLÍ
05, 05145, Antioquia, CARAMANTA
05, 05147, Antioquia, CAREPA
05, 05148, Antioquia, EL CARMEN DE VIBORAL
05, 05150, Antioquia, CAROLINA
05, 05154, Antioquia, CAUCASIA
05, 05172, Antioquia, CHIGORODÓ
05, 05190, Antioquia, CISNEROS
05, 05197, Antioquia, COCORNÁ
05, 05206, Antioquia, CONCEPCIÓN
05, 05209, Antioquia, CONCORDIA
05, 05212, Antioquia, COPACABANA
05, 05234, Antioquia, DABEIBA
05, 05237, Antioquia, DONMATÍAS
05, 05240, Antioquia, EBÉJICO
05, 05250, Antioquia, EL BAGRE
05, 05264, Antioquia, ENTRERRÍOS
05, 05266, Antioquia, ENVIGADO
05, 05282, Antioquia, FREDONIA
05, 05284, Antioquia, FRONTINO
05, 05306, Antioquia, GIRALDO
05, 05308, Antioquia, GIRARDOTA
05, 05310, Antioquia, GÓMEZ PLATA
05, 05313, Antioquia, GRANADA
05, 05315, Antioquia, GUADALUPE
05, 05318, Antioquia, GUARNE
05, 05321, Antioquia, GUATAPÉ
05, 05347, Antioquia, HELICONIA
05, 05353, Antioquia, HISPANIA
05, 05360, Antioquia, ITAGÜÍ
05, 05361, Antioquia, ITUANGO
05, 05364, Antioquia, JARDÍN
05, 05368, Antioquia, JERICÓ
05, 05376, Antioquia, LA CEJA
05, 05380, Antioquia, LA ESTRELLA
05, 05390, Antioquia, LA PINTADA
05, 05400, Antioquia, LA UNIÓN
05, 05411, Antioquia, LIBORINA
05, 05425, Antioquia, MACEO
05, 05440, Antioquia, MARINILLA
05, 05467, Antioquia, MONTEBELLO
05, 05475, Antioquia, MURINDÓ
05, 05480, Antioquia, MUTATÁ
05, 05483, Antioquia, NARIÑO
05, 05490, Antioquia, NECOCLÍ
05, 05495, Antioquia, NECHÍ
05, 05501, Antioquia, OLAYA
05, 05541, Antioquia, PEÑOL
05, 05543, Antioquia, PEQUE
05, 05576, Antioquia, PUEBLORRICO
05, 05579, Antioquia, PUERTO BERRÍO
05, 05585, Antioquia, PUERTO NARE
05, 05591, Antioquia, PUERTO TRIUNFO
05, 05604, Antioquia, REMEDIOS
05, 05607, Antioquia, RETIRO
05, 05615, Antioquia, RIONEGRO
05, 05628, Antioquia, SABANALARGA
05, 05631, Antioquia, SABANETA
05, 05642, Antioquia, SALGAR
05, 05647, Antioquia, SAN ANDRÉS DE CUERQUÍA
05, 05649, Antioquia, SAN CARLOS
05, 05652, Antioquia, SAN FRANCISCO
05, 05656, Antioquia, SAN JERÓNIMO
05, 05658, Antioquia, SAN JOSÉ DE LA MONTAÑA
05, 05659, Antioquia, SAN JUAN DE URABÁ
